"","sampleID","Age","Sex","BCS","Antibiotics","Glucocorticoids","Cobalamin","Folate","fPLI","fTLI","Group","SubGroup","NonGI_COMORBID","GI_COMORBID_HISTO","3-indoleacetic acid","3-indolepropionic acid","Indole acetamide","Indole acrylate","indole-3-lactic acid","Indole-3-pyruvate","Indole-carboxyaldehyde","Kynurenine","Kynurenic acid","Serotonin","Tryptamine","Trp"
"sam_22","sam_22",8,"MN",5,"NO","NO",NA,NA,NA,NA,"HC","HC","",NA,212.6,39.6,1.5,659.9,283.3,1187.4,31.3,1129.6,9.2,586.3,"3.2",12765.8
"sam_23","sam_23",11,"FS",8,"NO","NO",625,18.6,1.8,30.8,"HC","HC","",NA,146.5,38.5,1.4,1313.2,180.1,1124.2,55.3,1513.1,9.2,669.6,"3.3",23364.9
"sam_24","sam_24",11,"MN",4,"NO","NO",1000,8.9,1.1,NA,"HC","HC","",NA,211.6,52.7,1.5,1146,260.5,1128.7,47.2,1213.9,12,2158.8,"5.9",20853.1
"sam_25","sam_25",15,"MN",5,"NO","NO",989,15.7,4.6,32.8,"HC","HC","",NA,64.8,30.2,1.4,1027,164.9,1105.9,42.4,1169.9,7.6,995.3,"3.6",17828
"sam_26","sam_26",12,"MN",5,"NO","NO",1000,20.8,2.6,63.7,"HC","HC","",NA,158.1,72.6,1.4,1068.8,135.9,1182.7,43.3,1233.6,10.2,1108.6,"3.9",18722.8
"sam_27","sam_27",8,"MN",6,"NO","NO",1000,15,0.9,18.5,"HC","HC","",NA,336,106.9,1.4,877.3,452.4,1149,39,1058.4,10.4,1401.7,"4",15996
"sam_28","sam_28",10,"FS",5,"NO","NO",1000,44.6,1.3,24.1,"HC","HC","",NA,303.7,72.4,1.4,885.3,205.5,1113.4,34.2,907.3,12,951.3,"3.5",14505.9
"sam_29","sam_29",15,"FS",6,"NO","NO",NA,NA,NA,NA,"HC","HC","",NA,152.5,34.2,1.4,577,147.6,1099.9,23.7,774.2,7.8,390.9,"3.1",10410.4
"sam_30","sam_30",9,"MN",5,"NO","NO",1000,8.8,2.9,39.2,"HC","HC","",NA,103.6,70.1,1.6,774.1,189,1174.8,36.2,1079.8,12.1,1183.7,"3.9",15075
"sam_31","sam_31",8,"FS",5,"NO","NO",936,62.5,1.5,35.3,"HC","HC","",NA,212.4,26.3,1.4,661.3,213.5,1106.6,30.8,748.9,5.7,1129.9,"3.9",12669
